Height [mm],Radius [mm],Freq [GHz],S11 [dB]
10.0,8.0,6.6999999999999424,-2.49122567301695
10.0,8.0,6.719999999999942,-2.49414287132617
10.0,8.0,6.739999999999942,-2.49750827870835
10.0,8.0,6.759999999999941,-2.50133584457843
10.0,8.0,6.779999999999941,-2.50564486233881
10.0,8.0,6.79999999999994,-2.51406101157329
10.0,8.0,6.81999999999994,-2.5158147857824
10.0,8.0,6.8399999999999395,-2.5217467901687
10.0,8.0,6.859999999999939,-2.53550866778278
10.0,8.0,6.879999999999939,-2.53554373018242
10.0,8.0,6.899999999999938,-2.54353301579088
10.0,8.0,6.919999999999938,-2.55235132008002
10.0,8.0,6.939999999999937,-2.56209139824525
10.0,8.0,6.959999999999937,-2.57286118297208
10.0,8.0,6.9799999999999365,-2.5847857666573
10.0,8.0,6.999999999999936,-2.59800963979509
10.0,8.0,7.019999999999936,-2.61269921000113
10.0,8.0,7.039999999999935,-2.62904562568051
10.0,8.0,7.059999999999935,-2.647267926588
10.0,8.0,7.079999999999934,-2.66761653997592
10.0,8.0,7.099999999999934,-2.69037713503902
10.0,8.0,7.1199999999999335,-2.71587483916157
10.0,8.0,7.139999999999933,-2.77660710774346
10.0,8.0,7.159999999999933,-2.77660710774346
10.0,8.0,7.179999999999932,-2.8127318956843
10.0,8.0,7.199999999999932,-2.85338474688441
10.0,8.0,7.219999999999931,-2.85338474688441
10.0,8.0,7.239999999999931,-2.95073036078502
10.0,8.0,7.2599999999999305,-3.00883116587981
10.0,8.0,7.27999999999993,-2.96235632656549
10.0,8.0,7.29999999999993,-3.14799595656083
10.0,8.0,7.319999999999929,-3.14799595656083
10.0,8.0,7.339999999999929,-3.3242202040165
10.0,8.0,7.359999999999928,-3.42895664446386
10.0,8.0,7.379999999999928,-3.54638603121423
10.0,8.0,7.3999999999999275,-3.67779870713618
10.0,8.0,7.419999999999927,-3.82453468133378
10.0,8.0,7.439999999999927,-3.98796439852597
10.0,8.0,7.459999999999926,-3.98796439852597
10.0,8.0,7.479999999999926,-4.05063954992863
10.0,8.0,7.499999999999925,-4.59204197226363
10.0,8.0,7.519999999999925,-4.83562996768282
10.0,8.0,7.5399999999999245,-5.10223912824446
10.0,8.0,7.559999999999924,-5.39279179387388
10.0,8.0,7.579999999999924,-5.70801357816131
10.0,8.0,7.599999999999923,-6.04840199390244
10.0,8.0,7.619999999999923,-6.41419853099034
