"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7,8.33082706766917,-3.3586157986374
9,7,8.35087719298246,-3.45317224070225
9,7,8.37092731829574,-3.55757147240049
9,7,8.39097744360902,-3.67269515117901
9,7,8.41102756892231,-3.79946472358131
9,7,8.43107769423559,-3.93883567128853
9,7,8.45112781954887,-4.09179054506959
9,7,8.47117794486216,-4.25933098658824
9,7,8.49122807017544,-4.44246907679583
9,7,8.51127819548872,-4.64221850407706
9,7,8.53132832080201,-4.85958620607675
9,7,8.55137844611529,-5.0955652943859
9,7,8.57142857142857,-5.35113020819977
9,7,8.59147869674186,-5.62723515034235
9,7,8.61152882205514,-5.92481692981933
9,7,8.63157894736842,-6.24480337012982
9,7,8.65162907268171,-6.58812845335792
9,7,8.67167919799499,-6.95575538084875
9,7,8.69172932330827,-7.34870878059208
9,7,8.71177944862156,-7.76811743335309
9,7,8.73182957393484,-8.21526919596061
9,7,8.75187969924812,-8.69168036612845
9,7,8.7719298245614,-9.19918268957626
9,7,8.79197994987469,-9.74003274835727
9,7,8.81203007518797,-10.3170508878461
9,7,8.83208020050125,-10.9338006318621
9,7,8.85213032581454,-11.59482555141
9,7,8.87218045112782,-12.3059703156376
9,7,8.8922305764411,-13.0748289930419
9,7,8.91228070175439,-13.9113920585752
9,7,8.93233082706767,-14.8290150878232
9,7,8.95238095238095,-15.8459305356305
9,7,8.97243107769424,-16.9877236480766
9,7,8.99248120300752,-18.2916291014581
9,7,9.0125313283208,-19.8145445413011
9,7,9.03258145363409,-21.6494410108679
9,7,9.05263157894737,-23.9635423008103
9,7,9.07268170426065,-27.1053992904522
9,7,9.09273182957394,-32.0121047795246
9,7,9.11278195488722,-42.6484926695956
9,7,9.1328320802005,-36.5668307032828
9,7,9.15288220551378,-29.4776630663198
9,7,9.17293233082707,-25.561837097131
9,7,9.19298245614035,-22.8603794042087
9,7,9.21303258145363,-20.7979664624742
9,7,9.23308270676692,-19.1304304489859
9,7,9.2531328320802,-17.7319113656754
9,7,9.27318295739348,-16.5293381122297
9,7,9.29323308270677,-15.4767762112525
9,7,9.31328320802005,-14.5436955898147
9,7,9.33333333333333,-13.7089858037238
9,7,9.35338345864662,-12.957647219602
